study_hours,attendance,previous_score,assignment_score,final_score
6.0,50.23,49.57,47.28,70.44
5.62,66.67,92.31,76.9,98.46
2.96,69.91,53.15,86.48,78.05
7.68,76.87,98.55,78.63,100.0
6.17,95.99,60.21,71.82,90.65
4.88,67.32,50.93,42.52,61.88
5.28,67.35,87.38,98.11,95.56
3.94,86.88,79.52,87.92,94.57
2.73,72.61,69.89,57.57,75.67
3.49,61.23,73.32,98.8,80.87
6.3,72.62,83.15,76.11,93.53
1.1,57.04,53.71,74.95,59.87
1.81,58.82,99.78,84.88,83.18
1.32,74.92,98.49,88.71,82.67
1.29,70.95,79.02,79.39,75.62
6.99,95.74,51.97,47.69,82.96
5.93,68.12,80.81,60.3,87.06
4.32,79.03,44.33,95.69,82.89
1.68,81.61,41.84,53.48,57.85
4.44,50.65,55.46,62.33,67.23
4.31,83.18,67.76,65.92,81.22
2.21,58.9,92.1,66.36,75.45
4.04,98.05,83.63,76.78,91.85
3.79,57.43,84.56,96.58,87.31
5.31,70.73,65.53,54.44,82.99
5.45,54.27,60.76,47.29,72.48
1.32,99.84,62.26,51.85,66.69
3.62,75.11,99.26,93.22,98.06
5.38,79.77,42.41,78.75,78.93
4.52,53.35,92.02,57.15,84.3
7.0,87.5,74.72,88.96,100.0
5.61,60.5,66.32,91.68,87.96
2.14,94.9,83.52,90.79,90.1
1.49,60.26,69.2,95.14,69.09
5.5,59.53,92.41,55.13,82.37
1.19,51.83,94.04,85.3,72.62
5.1,73.6,65.3,67.63,82.38
7.58,78.24,56.61,90.52,100.0
5.03,53.29,75.54,83.71,91.68
3.72,88.78,94.74,86.59,98.11
5.5,72.66,52.64,79.37,83.92
4.21,76.22,77.38,50.65,72.76
4.82,72.04,77.89,72.7,84.73
7.59,70.04,83.99,99.08,100.0
3.7,77.98,47.89,96.24,78.08
7.73,57.76,82.95,42.59,86.66
7.34,59.1,94.54,49.89,90.76
2.37,93.09,50.78,47.9,58.96
1.49,97.31,54.25,83.56,76.57
1.71,68.67,98.28,89.07,81.89
1.13,63.54,50.86,52.81,54.76
1.66,82.2,91.26,70.35,86.46
5.78,70.44,69.54,90.44,89.45
1.5,51.27,54.83,83.97,55.6
3.23,57.81,92.24,72.53,80.57
6.91,85.8,66.72,75.42,98.39
1.16,82.95,70.89,70.5,77.22
6.7,51.35,61.55,57.85,74.85
2.97,61.1,75.58,73.9,77.28
1.83,61.55,49.81,81.33,63.14
5.88,83.59,63.46,92.4,94.02
5.4,50.99,98.16,78.18,100.0
7.14,55.21,55.49,85.67,82.98
6.15,90.0,79.4,49.6,90.51
6.62,58.93,59.51,67.69,83.77
2.97,82.64,86.41,40.56,78.22
2.24,61.91,47.85,54.8,57.93
6.25,54.97,98.19,83.59,99.13
6.65,62.16,67.23,99.51,94.34
7.93,86.11,54.16,45.95,86.81
3.89,92.78,44.41,64.09,72.49
3.6,91.51,50.19,88.0,83.13
6.43,69.86,71.19,52.24,82.68
3.39,83.4,60.22,73.31,78.59
7.52,60.25,89.73,83.98,100.0
7.01,64.66,65.85,76.96,93.71
4.0,94.82,54.92,51.28,74.17
6.26,50.65,77.03,61.32,77.72
6.28,54.28,82.41,87.03,97.43
1.72,60.39,50.02,73.25,58.75
7.32,51.33,50.06,40.31,69.76
4.54,59.07,42.2,85.66,71.6
6.79,79.15,84.18,42.12,93.15
3.24,71.07,79.83,84.74,77.69
7.27,94.63,68.48,52.15,100.0
3.72,90.87,90.65,97.48,100.0
1.08,67.09,88.34,62.08,71.29
7.34,62.97,75.12,59.62,89.11
1.64,68.98,92.1,48.93,71.57
3.24,79.51,52.35,58.34,70.21
7.65,63.4,46.72,92.6,92.52
7.65,81.21,56.18,99.78,100.0
5.01,70.47,43.43,62.1,71.77
5.42,77.6,71.87,66.92,85.73
4.14,71.81,96.2,83.32,92.72
3.05,64.72,42.36,93.17,70.58
3.3,97.42,47.33,75.58,80.2
5.71,88.18,67.13,63.49,89.2
6.27,57.01,96.03,64.76,83.54
6.54,93.42,58.97,81.74,96.65
6.53,74.37,70.43,40.19,82.0
1.64,94.73,42.49,77.18,68.21
4.46,89.99,48.9,61.33,74.69
1.4,71.26,99.2,87.65,87.81
4.85,51.12,97.91,45.58,82.95
4.09,63.43,40.3,75.29,66.59
7.21,77.08,97.11,68.86,100.0
3.46,81.67,78.35,78.54,82.31
1.82,62.89,92.08,43.89,64.26
2.0,56.97,67.28,74.8,66.35
6.33,91.75,70.94,73.69,97.78
5.33,99.22,69.33,73.64,95.33
1.71,76.28,80.01,76.21,78.31
1.59,58.58,48.38,80.59,64.29
5.91,63.62,41.8,88.3,82.2
1.51,50.92,58.48,56.19,54.17
6.75,95.71,82.28,89.5,100.0
5.94,55.89,52.11,69.9,79.36
1.57,78.83,80.41,44.62,69.78
1.59,63.7,98.19,43.51,73.29
7.91,77.71,45.63,60.05,87.17
3.62,82.57,80.36,87.09,90.43
3.59,91.49,66.63,82.46,88.52
6.69,60.32,92.09,87.32,100.0
7.63,50.55,50.63,71.04,79.55
7.9,56.84,81.56,66.41,93.8
6.27,95.0,90.29,48.85,92.86
3.63,93.69,96.68,59.69,87.68
1.58,79.87,80.99,66.04,74.03
6.44,80.03,69.83,45.32,81.42
4.91,83.25,77.07,53.24,82.47
3.97,58.77,92.13,75.89,79.9
7.34,95.72,74.24,84.14,100.0
1.78,70.94,41.82,99.9,69.46
4.45,69.16,95.86,95.99,94.98
1.08,75.95,81.37,78.55,77.33
4.28,52.35,80.59,65.27,80.81
1.39,58.31,52.94,78.17,57.31
1.83,86.9,79.53,87.14,80.74
1.82,54.14,63.63,47.1,54.92
5.54,80.16,79.07,64.59,86.45
6.22,62.27,46.4,90.39,86.3
5.08,69.46,79.47,63.03,83.84
7.74,64.43,99.96,74.31,100.0
3.62,67.78,42.89,75.27,63.02
3.0,85.95,98.63,51.07,85.24
7.08,64.86,64.41,61.73,81.88
2.57,78.32,92.25,60.07,80.33
7.74,73.8,86.94,41.57,93.15
1.09,83.18,74.02,41.45,67.56
7.79,96.84,84.31,89.9,100.0
1.3,86.63,92.71,56.38,67.17
7.24,60.75,64.25,71.08,88.5
4.69,51.56,59.62,57.92,75.31
7.95,63.11,80.06,96.44,100.0
1.52,79.75,88.47,55.56,74.27
4.88,52.57,85.74,65.78,80.92
7.79,74.82,87.87,92.36,100.0
4.66,79.84,66.13,90.52,85.99
5.41,66.71,89.07,51.17,86.25
5.87,88.55,47.21,88.16,90.11
4.18,55.33,72.67,67.49,79.42
5.39,53.76,40.35,68.98,78.1
5.09,86.41,59.48,48.01,78.36
7.31,74.77,61.99,44.84,81.55
1.32,84.42,63.77,83.68,73.72
2.97,71.74,81.73,69.79,74.04
7.65,62.32,63.31,66.21,86.13
7.23,90.96,66.92,83.77,98.99
4.19,89.97,54.25,85.93,82.45
5.34,84.73,62.4,49.53,79.7
2.94,63.61,53.64,76.61,66.96
2.32,79.51,44.39,48.12,62.48
4.25,68.05,76.21,85.08,86.19
3.47,54.58,80.09,79.42,79.37
5.09,95.87,77.17,97.4,99.55
1.54,56.84,67.81,44.14,57.83
7.82,97.51,62.79,43.42,93.14
7.9,72.3,91.8,56.93,96.3
